sep=;
4sub-images - time duration for each phase and the corresponding threads - Local
preparation;11:38:8 - 11:40:8;120;136;11:38:9 - 11:40:8;119;137;11:38:9 - 11:40:8;119;137;11:38:10 - 11:40:9;119;137;
grayscaling;11:42:24 - 11:43:37 (20);73;0;11:42:25 - 11:43:38 (22);73;0;11:42:25 - 11:43:38 (21);73;0;11:42:26 - 11:43:39 (23);73;0;
errosion;11:43:37 - 11:47:15 (20);218;;11:43:38 - 11:47:15 (22);217;;11:43:38 - 11:47:16 (21);218;;11:43:39 - 11:47:16 (23);217;;


4sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
preparation;11:47:16 - 11:47:38;22;1;11:47:16 - 11:47:38;22;1;11:47:16 - 11:47:38;22;3;11:47:16 - 11:47:38;22;3;
grayscaling;23:47:39 - 23:48:25 (123);46;1;23:47:39 - 23:48:25 (87);46;1;23:47:41 - 23:48:29 (105);48;0;23:47:41 - 23:48:30 (120);49;0;
errosion;23:48:26 - 23:48:26 (123);0;;23:48:26 - 23:48:26 (83);0;;23:48:29 - 23:48:30 (123);1;;23:48:30 - 23:48:31 (120);1;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
preparation;11:47:38 - 11:48:3;25;0;11:47:38 - 11:48:3;25;0;11:47:38 - 11:48:4;26;1;11:47:38 - 11:48:3;25;3;
grayscaling;23:48:3 - 23:49:9 (108);66;0;23:48:3 - 23:49:10 (104);67;0;23:48:3 - 23:49:10 (101);67;0;23:48:6 - 23:49:12 (92);66;0;
errosion;23:49:9 - 23:49:10 (110);1;;23:49:10 - 23:49:11 (108);1;;23:49:10 - 23:49:11 (104);1;;23:49:12 - 23:49:13 (110);1;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
preparation;11:48:4 - 11:48:34;30;0;11:48:4 - 11:48:34;30;0;11:48:4 - 11:48:33;29;1;11:48:4 - 11:48:34;30;1;
grayscaling;23:48:34 - 23:49:28 (123);54;1;23:48:34 - 23:49:28 (105);54;1;23:48:34 - 23:49:28 (87);54;0;23:48:35 - 23:49:28 (120);53;1;
errosion;23:49:29 - 23:49:29 (108);0;;23:49:29 - 23:49:29 (120);0;;23:49:28 - 23:49:28 (101);0;;23:49:29 - 23:49:29 (101);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
preparation;11:48:34 - 11:50:30;116;0;11:48:34 - 11:50:24;110;7;11:48:34 - 11:50:13;99;16;11:48:34 - 11:50:30;116;1;
grayscaling;23:50:30 - 23:52:27 (105);117;1;23:50:31 - 23:52:28 (103);117;1;23:50:29 - 23:52:26 (120);117;1;23:50:31 - 23:52:28 (112);117;2;
errosion;23:52:28 - 23:52:29 (105);1;;23:52:29 - 23:52:30 (112);1;;23:52:27 - 23:52:28 (97);1;;23:52:30 - 23:52:30 (105);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
preparation;11:50:30 - 11:53:35;185;4;11:50:30 - 11:53:26;176;13;11:50:30 - 11:53:34;184;2;11:50:30 - 11:53:35;185;3;
grayscaling;23:53:39 - 23:56:57 (121);198;2;23:53:39 - 23:56:58 (113);199;2;23:53:36 - 23:56:53 (120);197;1;23:53:38 - 23:56:56 (103);198;2;
errosion;23:56:59 - 23:57:0 (113);1;;23:57:0 - 23:57:1 (121);1;;23:56:54 - 23:56:56 (29);2;;23:56:58 - 23:56:58 (29);0;;


